id,name,birthdate,mobileno,phoneno
83,Person_83,1963-05-14,0959160571,025108997
84,Person_84,1963-05-29,0978394024,024364695
85,Person_85,1963-06-13,0974525468,022045482
86,Person_86,1963-06-28,0999966606,026786265
87,Person_87,1963-07-13,0948727468,026908635
88,Person_88,1963-07-28,0961757120,028487345
89,Person_89,1963-08-12,0977157848,021570451
90,Person_90,1963-08-27,0987897542,029408424
91,Person_91,1963-09-11,0983665032,021967344
92,Person_92,1963-09-26,0995390464,023412149
93,Person_93,1963-10-11,0958170987,026398869
94,Person_94,1963-10-26,0962562567,024352252
95,Person_95,1963-11-10,0933717335,024732839
96,Person_96,1963-11-25,0970472382,028022336
97,Person_97,1963-12-10,0922719242,026768927
98,Person_98,1963-12-25,0958715250,023878604
99,Person_99,1964-01-09,0993139152,025327858
100,Person_100,1964-01-24,0954054178,028433533
101,Person_101,1964-02-07,0948334882,029652831
102,Person_102,1964-02-22,0962441466,026984684
103,Person_103,1964-03-08,0959583876,023694287
104,Person_104,1964-03-23,0996117865,027511634
105,Person_105,1964-04-07,0973203558,025621056
106,Person_106,1964-04-22,0947407771,029976973
107,Person_107,1964-05-07,0993122310,021703662
108,Person_108,1964-05-22,0937009224,022305585
109,Person_109,1964-06-06,0961327755,025092097
110,Person_110,1964-06-21,0989018913,023659440
111,Person_111,1964-07-06,0917130144,024943645
112,Person_112,1964-07-21,0914545583,025495013
113,Person_113,1964-08-05,0964079037,027094467
114,Person_114,1964-08-20,0964474455,026517366
115,Person_115,1964-09-04,0951542436,024448678
116,Person_116,1964-09-19,0956626914,026211593
117,Person_117,1964-10-04,0963933927,029370262
118,Person_118,1964-10-19,0962453338,025846769
119,Person_119,1964-11-03,0924881728,028449607
120,Person_120,1964-11-18,0944045666,025043064
121,Person_121,1964-12-03,0922722094,023602967
122,Person_122,1964-12-18,0932178434,024438550
123,Person_123,1965-01-02,0956321408,021076218
124,Person_124,1965-01-17,0922796932,027878974
125,Person_125,1965-02-01,0984023414,021770044
126,Person_126,1965-02-16,0936063245,026579079
127,Person_127,1965-03-03,0949443226,024185714
128,Person_128,1965-03-18,0983619289,022728096
129,Person_129,1965-04-02,0917887739,029736347
130,Person_130,1965-04-17,0970736972,029860935
131,Person_131,1965-05-02,0971071026,028667105
132,Person_132,1965-05-17,0910769598,023694946
133,Person_133,1965-06-01,0999178975,025229215
134,Person_134,1965-06-16,0959007334,022922135
135,Person_135,1965-07-01,0938433648,028021855
136,Person_136,1965-07-16,0917971379,021978039
137,Person_137,1965-07-31,0913331068,029997354
138,Person_138,1965-08-15,0946810847,028352207
139,Person_139,1965-08-30,0944428803,021499876
140,Person_140,1965-09-14,0915654237,022962165
141,Person_141,1965-09-29,0971553124,028985620
142,Person_142,1965-10-14,0955816038,021611213
143,Person_143,1965-10-29,0927750764,021768734
144,Person_144,1965-11-13,0946898446,028750575
145,Person_145,1965-11-28,0933841962,025241361
146,Person_146,1965-12-13,0976834972,026511174
147,Person_147,1965-12-28,0953156515,022839433
148,Person_148,1966-01-12,0932993420,027569632
149,Person_149,1966-01-27,0972190751,024672214
150,Person_150,1966-02-11,0931970758,023026580
151,Person_151,1966-02-26,0946513466,028229039
152,Person_152,1966-03-13,0941288562,028507324
153,Person_153,1966-03-28,0931351509,027202258
154,Person_154,1966-04-12,0933484187,025339235
155,Person_155,1966-04-27,0971777469,024526737
156,Person_156,1966-05-12,0946093880,029790529
157,Person_157,1966-05-27,0960441204,023008960
158,Person_158,1966-06-11,0991752859,025455214
159,Person_159,1966-06-26,0954066131,029476563
160,Person_160,1966-07-11,0985415325,027918889
161,Person_161,1966-07-26,0945563453,024816446
162,Person_162,1966-08-10,0944755914,024376513
163,Person_163,1966-08-25,0960873983,022937878
164,Person_164,1966-09-09,0963892568,027193956
165,Person_165,1966-09-24,0933637222,022705215
166,Person_166,1966-10-09,0912484413,026437149
167,Person_167,1966-10-24,0980016224,028271476
168,Person_168,1966-11-08,0949449976,027429611
169,Person_169,1966-11-23,0999583549,024266402
170,Person_170,1966-12-08,0912235000,029121849
171,Person_171,1966-12-23,0933685747,029104789
172,Person_172,1967-01-07,0947876684,025108880
173,Person_173,1967-01-22,0982931048,026499593
174,Person_174,1967-02-06,0939859174,025261946
175,Person_175,1967-02-21,0946102853,021090093
176,Person_176,1967-03-08,0956159303,022732465
177,Person_177,1967-03-23,0922195226,024173584
178,Person_178,1967-04-07,0957936136,023859244
179,Person_179,1967-04-22,0979062973,021886040
180,Person_180,1967-05-07,0924421668,021322918
181,Person_181,1967-05-22,0931200096,023245909
182,Person_182,1967-06-06,0993375337,021116739
183,Person_183,1967-06-21,0933234510,022014929
184,Person_184,1967-07-06,0961715898,023420564
185,Person_185,1967-07-21,0955968757,029577064
186,Person_186,1967-08-05,0910061087,023653093
187,Person_187,1967-08-20,0990705119,024303457
188,Person_188,1967-09-04,0976653416,026888997
189,Person_189,1967-09-19,0995382256,027944121
190,Person_190,1967-10-04,0920274621,027238795
191,Person_191,1967-10-19,0923022704,025767348
192,Person_192,1967-11-03,0926816569,021716756
193,Person_193,1967-11-18,0917654909,029439834
194,Person_194,1967-12-03,0947814054,027790968
195,Person_195,1967-12-18,0994302960,024751198
196,Person_196,1968-01-02,0925421040,028369434
197,Person_197,1968-01-17,0934210512,024138145
198,Person_198,1968-02-01,0982073914,022226476
199,Person_199,1968-02-16,0977922032,025184056
200,Person_200,1968-03-02,0943779713,029960820
201,Person_201,1968-03-16,0921506305,022500844
202,Person_202,1968-03-31,0930560091,024443609
203,Person_203,1968-04-15,0996881845,029752084
204,Person_204,1968-04-30,0917734102,022400283
205,Person_205,1968-05-15,0915674719,026927613
206,Person_206,1968-05-30,0918658144,021691757
207,Person_207,1968-06-14,0950163712,021390719
208,Person_208,1968-06-29,0999386386,027854453
209,Person_209,1968-07-14,0995447809,024337920
210,Person_210,1968-07-29,0998917675,024296050
211,Person_211,1968-08-13,0954165849,023118324
212,Person_212,1968-08-28,0982586911,027827299
213,Person_213,1968-09-12,0978227907,027247794
214,Person_214,1968-09-27,0988826934,028917596
215,Person_215,1968-10-12,0959905866,025902666
216,Person_216,1968-10-27,0991121402,021876031
217,Person_217,1968-11-11,0950657662,027232739
218,Person_218,1968-11-26,0916659908,022270896
219,Person_219,1968-12-11,0941378291,022059622
220,Person_220,1968-12-26,0973020641,025422375
221,Person_221,1969-01-10,0946634821,021378165
222,Person_222,1969-01-25,0929433354,025131479
223,Person_223,1969-02-09,0926887294,021415008
224,Person_224,1969-02-24,0983422991,022631993
225,Person_225,1969-03-11,0945562619,024351278
226,Person_226,1969-03-26,0945213498,023342035
227,Person_227,1969-04-10,0945703247,028978450
228,Person_228,1969-04-25,0950910172,026703394
229,Person_229,1969-05-10,0972744322,028240947
230,Person_230,1969-05-25,0967805563,023768362
231,Person_231,1969-06-09,0916404003,022170365
232,Person_232,1969-06-24,0981244178,026931161
233,Person_233,1969-07-09,0961939266,027790593
234,Person_234,1969-07-24,0943267858,025851188
235,Person_235,1969-08-08,0931114003,023721864
236,Person_236,1969-08-23,0996641503,024947208
237,Person_237,1969-09-07,0920421958,027984720
238,Person_238,1969-09-22,0987809459,028733308
239,Person_239,1969-10-07,0922984808,024875754
240,Person_240,1969-10-22,0924764960,023704999
241,Person_241,1969-11-06,0960402943,026298217
242,Person_242,1969-11-21,0986241446,022324070
243,Person_243,1969-12-06,0963777024,028364386
244,Person_244,1969-12-21,0993494666,026787749
245,Person_245,1970-01-05,0980721464,022661793
246,Person_246,1970-01-20,0994711896,027576651
247,Person_247,1970-02-04,0989214742,027867218
248,Person_248,1970-02-19,0953799966,028466027
249,Person_249,1970-03-06,0920047453,025987696
250,Person_250,1970-03-21,0945581225,021428988
251,Person_251,1970-04-05,0944109026,025084752
252,Person_252,1970-04-20,0952090758,025374857
253,Person_253,1970-05-05,0926037627,023977590
254,Person_254,1970-05-20,0990337039,028599600
255,Person_255,1970-06-04,0930281689,027610734
256,Person_256,1970-06-19,0967631343,024297291
257,Person_257,1970-07-04,0981450611,025894287
258,Person_258,1970-07-19,0956510960,028954647
259,Person_259,1970-08-03,0942797855,023490706
260,Person_260,1970-08-18,0944795514,028542535
261,Person_261,1970-09-02,0915184502,029047252
262,Person_262,1970-09-17,0933448674,026254224
263,Person_263,1970-10-02,0965223954,027215140
264,Person_264,1970-10-17,0940948143,024737973
265,Person_265,1970-11-01,0922503247,023202575
266,Person_266,1970-11-16,0964006163,027611653
267,Person_267,1970-12-01,0961910807,021464071
268,Person_268,1970-12-16,0964847136,025381137
269,Person_269,1970-12-31,0983150359,025912216
270,Person_270,1971-01-15,0940831219,028597626
271,Person_271,1971-01-30,0933101383,024498472
272,Person_272,1971-02-14,0927569187,029369689
273,Person_273,1971-03-01,0964710375,022564718
274,Person_274,1971-03-16,0964456147,026139743
275,Person_275,1971-03-31,0988110973,024813270
276,Person_276,1971-04-15,0949501026,025806425
277,Person_277,1971-04-30,0943163773,027609876
278,Person_278,1971-05-15,0921310552,023378837
279,Person_279,1971-05-30,0941146082,027123769
280,Person_280,1971-06-14,0931104792,022524102
281,Person_281,1971-06-29,0931739356,023383366
282,Person_282,1971-07-14,0921471761,023035848
283,Person_283,1971-07-29,0929576703,026122930
284,Person_284,1971-08-13,0985092305,029593223
285,Person_285,1971-08-28,0982429249,027691409
286,Person_286,1971-09-12,0928877237,021838003
287,Person_287,1971-09-27,0956918818,024433382
288,Person_288,1971-10-12,0933705256,029670178
289,Person_289,1971-10-27,0994504547,024395049
290,Person_290,1971-11-11,0987633091,021066150
291,Person_291,1971-11-26,0989452960,028951632
292,Person_292,1971-12-11,0965403796,028429645
293,Person_293,1971-12-26,0933508102,027081687
294,Person_294,1972-01-10,0919405634,029948331
295,Person_295,1972-01-25,0915853584,023547500
296,Person_296,1972-02-09,0934947744,025193060
297,Person_297,1972-02-24,0958491183,021134055
298,Person_298,1972-03-10,0947856186,022841648
299,Person_299,1972-03-25,0958673237,028132508
300,Person_300,1972-04-09,0975293686,027437845
301,Person_301,1972-04-23,0911983509,024828433
302,Person_302,1972-05-08,0928298917,023735264
303,Person_303,1972-05-23,0953563237,025448748
304,Person_304,1972-06-07,0987729132,028152747
305,Person_305,1972-06-22,0987275698,025137270
306,Person_306,1972-07-07,0983214389,025317922
307,Person_307,1972-07-22,0936365210,029847905
308,Person_308,1972-08-06,0968245345,028465373
309,Person_309,1972-08-21,0937180308,022020154
310,Person_310,1972-09-05,0921326237,029070924
311,Person_311,1972-09-20,0996343264,027843532
312,Person_312,1972-10-05,0971864219,025945169
313,Person_313,1972-10-20,0964434670,027733215
314,Person_314,1972-11-04,0997692768,029195810
315,Person_315,1972-11-19,0943255876,028904294
316,Person_316,1972-12-04,0959114107,028185197
317,Person_317,1972-12-19,0925900476,029171548
318,Person_318,1973-01-03,0950820227,027714301
319,Person_319,1973-01-18,0989688895,028969693
320,Person_320,1973-02-02,0997927856,022859582
321,Person_321,1973-02-17,0963059071,028744064
322,Person_322,1973-03-04,0999595920,023129885
323,Person_323,1973-03-19,0922707035,025720642
324,Person_324,1973-04-03,0915130397,021549239
325,Person_325,1973-04-18,0980560220,029945309
326,Person_326,1973-05-03,0946998516,026408753
327,Person_327,1973-05-18,0946481541,024047569
328,Person_328,1973-06-02,0976385640,021785332
329,Person_329,1973-06-17,0976880548,029555080
330,Person_330,1973-07-02,0988384476,021397710
331,Person_331,1973-07-17,0952058334,027503216
332,Person_332,1973-08-01,0959742523,025317048
333,Person_333,1973-08-16,0949769056,024188729
334,Person_334,1973-08-31,0965174259,025785956
335,Person_335,1973-09-15,0966688830,026105724
336,Person_336,1973-09-30,0953369428,026025764
337,Person_337,1973-10-15,0924650271,028996198
338,Person_338,1973-10-30,0941725526,021910775
339,Person_339,1973-11-14,0989348896,026954878
340,Person_340,1973-11-29,0928992383,026927997
341,Person_341,1973-12-14,0980995266,021558924
342,Person_342,1973-12-29,0966877183,024881185
343,Person_343,1974-01-13,0994574185,026004998
344,Person_344,1974-01-28,0911989173,026166650
345,Person_345,1974-02-12,0946635193,026693075
346,Person_346,1974-02-27,0942474983,029109916
347,Person_347,1974-03-14,0943999533,026193278
348,Person_348,1974-03-29,0924716695,021431413
349,Person_349,1974-04-13,0973967150,025165100
350,Person_350,1974-04-28,0973981206,021863561
351,Person_351,1974-05-13,0974785345,021302186
352,Person_352,1974-05-28,0927882750,024207393
353,Person_353,1974-06-12,0988725274,026489464
354,Person_354,1974-06-27,0970303849,028456985
355,Person_355,1974-07-12,0920192257,027767528
356,Person_356,1974-07-27,0953167705,022026553
357,Person_357,1974-08-11,0931130343,029533879
358,Person_358,1974-08-26,0950869792,024743797
359,Person_359,1974-09-10,0959913224,022514542
360,Person_360,1974-09-25,0974356138,027357718
361,Person_361,1974-10-10,0977607727,025180656
362,Person_362,1974-10-25,0963007836,029465506
363,Person_363,1974-11-09,0975541801,027846192
364,Person_364,1974-11-24,0968114585,029676924
365,Person_365,1974-12-09,0936658609,028347689
366,Person_366,1974-12-24,0986294551,022829553
367,Person_367,1975-01-08,0940024204,024041341
368,Person_368,1975-01-23,0992008891,022039504
369,Person_369,1975-02-07,0958715257,027666455
370,Person_370,1975-02-22,0932268806,028663589
371,Person_371,1975-03-09,0916512440,028918348
372,Person_372,1975-03-24,0922431395,025988023
373,Person_373,1975-04-08,0983208492,028635836
374,Person_374,1975-04-23,0939093907,028809006
375,Person_375,1975-05-08,0946253447,022675843
376,Person_376,1975-05-23,0972134783,029423309
377,Person_377,1975-06-07,0972460303,024229028
378,Person_378,1975-06-22,0993831437,028056993
379,Person_379,1975-07-07,0974447435,022721610
380,Person_380,1975-07-22,0959895282,023339767
381,Person_381,1975-08-06,0912503771,023614235
382,Person_382,1975-08-21,0980286689,021491036
383,Person_383,1975-09-05,0910996161,029715912
384,Person_384,1975-09-20,0914183839,027046914
385,Person_385,1975-10-05,0977775190,023710241
386,Person_386,1975-10-20,0977758014,022142953
387,Person_387,1975-11-04,0930153173,024961352
388,Person_388,1975-11-19,0977227698,024978702
389,Person_389,1975-12-04,0958939582,029168984
390,Person_390,1975-12-19,0966224957,021326916
391,Person_391,1976-01-03,0932725756,024597706
392,Person_392,1976-01-18,0981531065,025506554
393,Person_393,1976-02-02,0911079600,021605409
394,Person_394,1976-02-17,0936191539,027849486
395,Person_395,1976-03-03,0942576169,026050405
396,Person_396,1976-03-18,0953381573,029337735
397,Person_397,1976-04-02,0980612021,022725690
398,Person_398,1976-04-17,0935050090,024280772
399,Person_399,1976-05-02,0918849851,029197295
400,Person_400,1976-05-17,0970779108,026809041
401,Person_401,1976-05-31,0976009351,026087268
402,Person_402,1976-06-15,0995871668,027155579
403,Person_403,1976-06-30,0994890726,021403119
404,Person_404,1976-07-15,0997753580,029212420
405,Person_405,1976-07-30,0939549535,021402732
406,Person_406,1976-08-14,0910449395,021506079
407,Person_407,1976-08-29,0931921117,022950013
408,Person_408,1976-09-13,0950308782,022132658
409,Person_409,1976-09-28,0961592034,022985209
410,Person_410,1976-10-13,0963386038,025322626
411,Person_411,1976-10-28,0967351079,021656951
412,Person_412,1976-11-12,0941530803,029399911
413,Person_413,1976-11-27,0943266319,024479591
414,Person_414,1976-12-12,0940503180,026203916
415,Person_415,1976-12-27,0913379569,027026988
416,Person_416,1977-01-11,0980009467,028426263
417,Person_417,1977-01-26,0954910237,023366610
418,Person_418,1977-02-10,0952165906,025180303
419,Person_419,1977-02-25,0969855504,025684346
420,Person_420,1977-03-12,0999473854,021458298
421,Person_421,1977-03-27,0916319707,022047343
422,Person_422,1977-04-11,0978532150,026719720
423,Person_423,1977-04-26,0913695961,029493836
424,Person_424,1977-05-11,0988911293,025620650
425,Person_425,1977-05-26,0946396424,022755692
426,Person_426,1977-06-10,0914294539,022730228
427,Person_427,1977-06-25,0921609076,022946793
428,Person_428,1977-07-10,0983204793,022569123
429,Person_429,1977-07-25,0948498937,027115518
430,Person_430,1977-08-09,0910803328,028393979
431,Person_431,1977-08-24,0930840174,029437482
432,Person_432,1977-09-08,0911043233,022622572
433,Person_433,1977-09-23,0987209213,024220281
434,Person_434,1977-10-08,0910529525,023689784
435,Person_435,1977-10-23,0926953831,029175602
436,Person_436,1977-11-07,0966996736,021709662
437,Person_437,1977-11-22,0984583311,027863382
438,Person_438,1977-12-07,0981709884,026321129
439,Person_439,1977-12-22,0992235366,029859060
440,Person_440,1978-01-06,0913699391,026672605
441,Person_441,1978-01-21,0987183765,023592670
442,Person_442,1978-02-05,0958487260,025810833
443,Person_443,1978-02-20,0967338102,027703459
444,Person_444,1978-03-07,0980721474,027417665
445,Person_445,1978-03-22,0925192217,021442061
446,Person_446,1978-04-06,0962496015,024761675
447,Person_447,1978-04-21,0920292658,028415745
448,Person_448,1978-05-06,0943698788,029082655
449,Person_449,1978-05-21,0971819576,029877580
450,Person_450,1978-06-05,0973362116,024081328
451,Person_451,1978-06-20,0911748014,026371112
452,Person_452,1978-07-05,0950711152,029551646
453,Person_453,1978-07-20,0960296557,028281505
454,Person_454,1978-08-04,0956216125,026124795
455,Person_455,1978-08-19,0979397491,026411263
456,Person_456,1978-09-03,0991949124,024963735
457,Person_457,1978-09-18,0933295179,027493509
458,Person_458,1978-10-03,0983706383,029989138
459,Person_459,1978-10-18,0927541337,029824031
460,Person_460,1978-11-02,0967399769,022192929
461,Person_461,1978-11-17,0930279846,029711998
462,Person_462,1978-12-02,0920970723,027555035
463,Person_463,1978-12-17,0982807712,025068316
464,Person_464,1979-01-01,0982193785,029067987
465,Person_465,1979-01-16,0960018037,022656671
466,Person_466,1979-01-31,0953351876,026681635
467,Person_467,1979-02-15,0960166883,027145265
468,Person_468,1979-03-02,0970361505,029527171
469,Person_469,1979-03-17,0956787763,021783066
470,Person_470,1979-04-01,0975732489,025899856
471,Person_471,1979-04-16,0913693305,027240779
472,Person_472,1979-05-01,0923470137,025055957
473,Person_473,1979-05-16,0914466271,027617488
474,Person_474,1979-05-31,0964717184,021597897
475,Person_475,1979-06-15,0944907127,024941237
476,Person_476,1979-06-30,0920495300,023042999
477,Person_477,1979-07-15,0938709379,024659985
478,Person_478,1979-07-30,0944654999,022902897
479,Person_479,1979-08-14,0937451727,029019213
480,Person_480,1979-08-29,0984815222,024576511
481,Person_481,1979-09-13,0938997889,022163950
482,Person_482,1979-09-28,0958978079,021549148
483,Person_483,1979-10-13,0921726298,023773707
484,Person_484,1979-10-28,0994607827,026068002
485,Person_485,1979-11-12,0965723671,023773939
486,Person_486,1979-11-27,0999843595,022935740
487,Person_487,1979-12-12,0966564401,024434955
488,Person_488,1979-12-27,0956673570,025936710
489,Person_489,1980-01-11,0988547323,026155872
490,Person_490,1980-01-26,0925033888,024177326
491,Person_491,1980-02-10,0999132960,022554510
492,Person_492,1980-02-25,0971704882,024763122
493,Person_493,1980-03-11,0944958762,025421590
494,Person_494,1980-03-26,0927028708,023534937
495,Person_495,1980-04-10,0914035851,021812461
496,Person_496,1980-04-25,0957685442,025427036
497,Person_497,1980-05-10,0944045504,022718224
498,Person_498,1980-05-25,0992396202,023710626
499,Person_499,1980-06-09,0945610155,028906166
500,Person_500,1980-06-24,0939469068,028310108
501,Person_501,1980-07-08,0940185054,027440010
502,Person_502,1980-07-23,0919702701,029674163
503,Person_503,1980-08-07,0988262145,021444191
504,Person_504,1980-08-22,0943127676,022502337
505,Person_505,1980-09-06,0912976242,024486669
506,Person_506,1980-09-21,0947317456,024722946
507,Person_507,1980-10-06,0937812615,028064400
508,Person_508,1980-10-21,0954653148,021224695
509,Person_509,1980-11-05,0914833177,024441628
510,Person_510,1980-11-20,0918454561,028552975
511,Person_511,1980-12-05,0955932658,029123236
512,Person_512,1980-12-20,0912597480,028761850
513,Person_513,1981-01-04,0933151417,024340216
514,Person_514,1981-01-19,0949673332,024833284
515,Person_515,1981-02-03,0929699313,022847865
516,Person_516,1981-02-18,0926934380,028586725
517,Person_517,1981-03-05,0920617244,025897954
518,Person_518,1981-03-20,0944086263,025017136
519,Person_519,1981-04-04,0980098339,021344855
520,Person_520,1981-04-19,0960234072,026750283
521,Person_521,1981-05-04,0913369720,022074961
522,Person_522,1981-05-19,0981819939,025625678
523,Person_523,1981-06-03,0983963364,023377935
524,Person_524,1981-06-18,0912640328,022134106
525,Person_525,1981-07-03,0935856919,029296877
526,Person_526,1981-07-18,0967658082,023474968
527,Person_527,1981-08-02,0965395426,027166160
528,Person_528,1981-08-17,0937348975,026672540
529,Person_529,1981-09-01,0921552291,026644807
530,Person_530,1981-09-16,0910070640,026972558
531,Person_531,1981-10-01,0987498463,023442266
532,Person_532,1981-10-16,0972976036,025437677
533,Person_533,1981-10-31,0995241611,026241218
534,Person_534,1981-11-15,0913741196,026150635
535,Person_535,1981-11-30,0929511512,026481140
536,Person_536,1981-12-15,0993692386,028214615
537,Person_537,1981-12-30,0950260456,029010643
538,Person_538,1982-01-14,0921720477,025981262
539,Person_539,1982-01-29,0923217648,025525208
540,Person_540,1982-02-13,0932558781,026290717
541,Person_541,1982-02-28,0969946863,021518349
542,Person_542,1982-03-15,0972784216,023881990
543,Person_543,1982-03-30,0942425301,021797968
544,Person_544,1982-04-14,0980373772,028892861
545,Person_545,1982-04-29,0998146618,029467691
546,Person_546,1982-05-14,0936778642,027211411
547,Person_547,1982-05-29,0970995760,023655971
548,Person_548,1982-06-13,0956547339,026609125
549,Person_549,1982-06-28,0924573458,023874299
550,Person_550,1982-07-13,0957911176,028339838
551,Person_551,1982-07-28,0939264326,028330292
552,Person_552,1982-08-12,0992896667,022804673
553,Person_553,1982-08-27,0963953229,023938199
554,Person_554,1982-09-11,0998132318,028594378
555,Person_555,1982-09-26,0966294783,029998604
556,Person_556,1982-10-11,0969145779,025909776
557,Person_557,1982-10-26,0956977874,024303389
558,Person_558,1982-11-10,0939365614,029025407
559,Person_559,1982-11-25,0999268367,025354385
560,Person_560,1982-12-10,0957010676,029777198
561,Person_561,1982-12-25,0961371106,024151882
562,Person_562,1983-01-09,0947327243,024210016
563,Person_563,1983-01-24,0979426200,027737320
564,Person_564,1983-02-08,0979872506,023389383
565,Person_565,1983-02-23,0920198499,027996746
566,Person_566,1983-03-10,0947342772,021164053
567,Person_567,1983-03-25,0954362902,026973544
568,Person_568,1983-04-09,0910197775,026282379
569,Person_569,1983-04-24,0945940920,023542637
570,Person_570,1983-05-09,0994673574,029033951
571,Person_571,1983-05-24,0933614649,029107317
572,Person_572,1983-06-08,0988507230,025158549
573,Person_573,1983-06-23,0927310852,025530889
574,Person_574,1983-07-08,0988535842,029411039
575,Person_575,1983-07-23,0964564054,029962049
576,Person_576,1983-08-07,0972989020,029284960
577,Person_577,1983-08-22,0940773482,023049949
578,Person_578,1983-09-06,0988733130,029388512
579,Person_579,1983-09-21,0987273675,022268300
580,Person_580,1983-10-06,0912276360,022947763
581,Person_581,1983-10-21,0959437769,028654502
582,Person_582,1983-11-05,0941665404,024882149
583,Person_583,1983-11-20,0995218477,025873062
584,Person_584,1983-12-05,0967849484,028045209
585,Person_585,1983-12-20,0926434343,029439469
586,Person_586,1984-01-04,0954079273,028678073
587,Person_587,1984-01-19,0950201137,025845710
588,Person_588,1984-02-03,0982571674,025000737
589,Person_589,1984-02-18,0990497273,028258746
590,Person_590,1984-03-04,0990954884,022443717
591,Person_591,1984-03-19,0967235484,025409352
592,Person_592,1984-04-03,0972182821,026111142
593,Person_593,1984-04-18,0986835154,029421928
594,Person_594,1984-05-03,0990768647,029715633
595,Person_595,1984-05-18,0993273068,027906571
596,Person_596,1984-06-02,0933020885,029752967
597,Person_597,1984-06-17,0911286643,022308507
598,Person_598,1984-07-02,0987031056,025066621
599,Person_599,1984-07-17,0951869822,021100734
600,Person_600,1984-08-01,0916200646,029546310
601,Person_601,1984-08-15,0984092760,023851274
602,Person_602,1984-08-30,0924509187,022225811
603,Person_603,1984-09-14,0937780899,024081091
604,Person_604,1984-09-29,0915409861,024829049
605,Person_605,1984-10-14,0998825083,022868670
606,Person_606,1984-10-29,0965478034,028265406
607,Person_607,1984-11-13,0922831595,025813673
